departement,date,hosp
Ain,2022-03-31,91
Aisne,2022-03-31,204
Allier,2022-03-31,124
Alpes-de-Haute-Provence,2022-03-31,25
Alpes-Maritimes,2022-03-31,497
Ardennes,2022-03-31,94
Ariège,2022-03-31,13
Aube,2022-03-31,115
Aude,2022-03-31,107
Aveyron,2022-03-31,43
Bouches-du-Rhône,2022-03-31,821
Calvados,2022-03-31,129
Cantal,2022-03-31,29
Charente,2022-03-31,44
Charente-Maritime,2022-03-31,80
Cher,2022-03-31,86
Corrèze,2022-03-31,36
Corse-du-Sud,2022-03-31,22
Côte-d'Or,2022-03-31,177
Côtes-d'Armor,2022-03-31,63
Creuse,2022-03-31,13
Deux-Sèvres,2022-03-31,41
Dordogne,2022-03-31,74
Doubs,2022-03-31,132
Drôme,2022-03-31,131
Essonne,2022-03-31,431
Eure,2022-03-31,85
Eure-et-Loir,2022-03-31,86
Finistère,2022-03-31,116
Gard,2022-03-31,170
Gers,2022-03-31,30
Gironde,2022-03-31,395
Haut-Rhin,2022-03-31,326
Haute-Corse,2022-03-31,29
Haute-Garonne,2022-03-31,341
Haute-Loire,2022-03-31,37
Haute-Marne,2022-03-31,43
Haute-Saône,2022-03-31,34
Haute-Savoie,2022-03-31,314
Haute-Vienne,2022-03-31,51
Hautes-Alpes,2022-03-31,29
Hautes-Pyrénées,2022-03-31,26
Hauts-de-Seine,2022-03-31,509
Hérault,2022-03-31,316
Ille-et-Vilaine,2022-03-31,200
Indre,2022-03-31,37
Indre-et-Loire,2022-03-31,133
Isère,2022-03-31,323
Jura,2022-03-31,44
Landes,2022-03-31,88
Loir-et-Cher,2022-03-31,45
Loire,2022-03-31,219
Loire-Atlantique,2022-03-31,315
Loiret,2022-03-31,193
